Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
63578959,12/30/2024 11:33:07 PM,03/03/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10036,337 WEST   43 STREET,WEST   43 STREET,,,,,ADDRESS,NEW YORK,,,Closed,,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,03/03/2025 12:00:00 AM,04 MANHATTAN,1010340007,MANHATTAN,986896,215583,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.75840162233722,-73.99044896111556,"(40.75840162233722, -73.99044896111556)"
63578947,12/30/2024 10:35:14 PM,01/07/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10472,1120 ROSEDALE AVENUE,ROSEDALE AVENUE,,,,,ADDRESS,BRONX,,,Closed,,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/07/2025 12:00:00 AM,09 BRONX,2037510001,BRONX,1020679,240998,UNKNOWN,Unspecified,BRONX,,,,,,,,40.82808419778328,-73.86836761149952,"(40.82808419778328, -73.86836761149952)"
63572275,12/30/2024 09:25:37 PM,01/02/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10462,22 METROPOLITAN OVAL,METROPOLITAN OVAL,,,,,ADDRESS,BRONX,,,Closed,,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/02/2025 12:00:00 AM,09 BRONX,2039437501,BRONX,1023235,244686,UNKNOWN,Unspecified,BRONX,,,,,,,,40.83819577072794,-73.85911035415445,"(40.83819577072794, -73.85911035415445)"
63575513,12/30/2024 08:58:22 PM,12/30/2024 08:58:22 PM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10453,1764 WALTON AVENUE,WALTON AVENUE,,,,,ADDRESS,BRONX,,,Open,,Your Service Request has been submitted to the Department of Buildings.  Please check back later for status.,12/30/2024 12:00:00 AM,05 BRONX,2028260006,BRONX,1009053,248012,UNKNOWN,Unspecified,BRONX,,,,,,,,40.84737588254471,-73.91035097461715,"(40.84737588254471, -73.91035097461715)"
63572276,12/30/2024 08:40:20 PM,01/02/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10462,81 METROPOLITAN OVAL,METROPOLITAN OVAL,,,,,ADDRESS,BRONX,,,Closed,,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/02/2025 12:00:00 AM,09 BRONX,2039377501,BRONX,1022818,244715,UNKNOWN,Unspecified,BRONX,,,,,,,,40.83827719822363,-73.86061719989989,"(40.83827719822363, -73.86061719989989)"
63572281,12/30/2024 08:09:44 PM,08/04/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10027,410 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,,,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",08/04/2025 12:00:00 AM,10 MANHATTAN,1019580001,MANHATTAN,998200,235884,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.81411182353892,-73.94960373018408,"(40.81411182353892, -73.94960373018408)"
63584141,12/30/2024 07:54:38 PM,05/05/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,11203,475 SCHENECTADY AVENUE,SCHENECTADY AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,05/05/2025 12:00:00 AM,09 BROOKLYN,,BROOKLYN,1002449,180490,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.66206136973139,-73.93440350265125,"(40.66206136973139, -73.93440350265125)"
63578958,12/30/2024 07:42:35 PM,02/10/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,11214,1752 SHORE PARKWAY,SHORE PARKWAY,,,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,02/10/2025 12:00:00 AM,11 BROOKLYN,3064910207,BROOKLYN,985316,155319,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.59299091249001,-73.99616168304057,"(40.59299091249001, -73.99616168304057)"
63569231,12/30/2024 07:17:38 PM,01/02/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10453,1615 UNIVERSITY AVENUE,UNIVERSITY AVENUE,,,,,ADDRESS,BRONX,,,Closed,,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/02/2025 12:00:00 AM,05 BRONX,2028780015,BRONX,1006402,247988,UNKNOWN,Unspecified,BRONX,,,,,,,,40.84731705833017,-73.91993293617895,"(40.84731705833017, -73.91993293617895)"
63566249,12/30/2024 07:11:14 PM,07/07/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,11213,789 ST MARKS AVENUE,ST MARKS AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,07/07/2025 12:00:00 AM,08 BROOKLYN,3012210023,BROOKLYN,999213,185202,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.6750008164119,-73.94605688279943,"(40.6750008164119, -73.94605688279943)"
63563285,12/30/2024 06:49:58 PM,01/02/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10026,1833 ADAM CLAYTON POWELL BOULEVARD,ADAM CLAYTON POWELL BOULEVARD,,,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/02/2025 12:00:00 AM,10 MANHATTAN,1018210064,MANHATTAN,996816,230866,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.80034087855775,-73.95461301004313,"(40.80034087855775, -73.95461301004313)"
63566341,12/30/2024 06:22:01 PM,01/02/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10006,90 WASHINGTON STREET,WASHINGTON STREET,,,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/02/2025 12:00:00 AM,01 MANHATTAN,1000170029,MANHATTAN,980245,197250,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.70808153542161,-74.01444559148298,"(40.70808153542161, -74.01444559148298)"
63561797,12/30/2024 06:21:39 PM,04/16/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,11207,271 WORTMAN AVENUE,WORTMAN AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,04/16/2025 12:00:00 AM,05 BROOKLYN,3043750001,BROOKLYN,1016689,178944,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.65777722409134,-73.88308431467564,"(40.65777722409134, -73.88308431467564)"
63569272,12/30/2024 06:18:38 PM,01/02/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10006,90 WASHINGTON STREET,WASHINGTON STREET,,,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/02/2025 12:00:00 AM,01 MANHATTAN,1000170029,MANHATTAN,980245,197250,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.70808153542161,-74.01444559148298,"(40.70808153542161, -74.01444559148298)"
63566275,12/30/2024 06:06:27 PM,01/03/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10030,695 SAINT NICHOLAS AVENUE,SAINT NICHOLAS AVENUE,,,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/03/2025 12:00:00 AM,09 MANHATTAN,1020500131,MANHATTAN,999474,239328,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.823562528881716,-73.94499342041004,"(40.823562528881716, -73.94499342041004)"
63564668,12/30/2024 06:00:25 PM,02/03/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11375,63-10 108 STREET,108 STREET,,,,,ADDRESS,FOREST HILLS,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,02/03/2025 12:00:00 AM,06 QUEENS,4021460028,QUEENS,1025676,206981,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.734694673156454,-73.85052125577377,"(40.734694673156454, -73.85052125577377)"
63569230,12/30/2024 05:57:23 PM,01/02/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11229,2222 EAST   18 STREET,EAST   18 STREET,,,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/02/2025 12:00:00 AM,15 BROOKLYN,3073780078,BROOKLYN,997286,156595,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.59648375278108,-73.95305917480518,"(40.59648375278108, -73.95305917480518)"
63566342,12/30/2024 05:53:59 PM,01/08/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10451,711 WALTON AVENUE,WALTON AVENUE,,,,,ADDRESS,BRONX,,,Closed,,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/08/2025 12:00:00 AM,04 BRONX,2024730055,BRONX,1004678,239400,UNKNOWN,Unspecified,BRONX,,,,,,,,40.823749646100836,-73.92619038184868,"(40.823749646100836, -73.92619038184868)"
63570707,12/30/2024 05:12:52 PM,01/03/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10030,695 SAINT NICHLAS AVENUE,SAINT NICHLAS AVENUE,,,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/03/2025 12:00:00 AM,09 MANHATTAN,1020500131,MANHATTAN,999474,239328,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.823562528881716,-73.94499342041004,"(40.823562528881716, -73.94499342041004)"
63563284,12/30/2024 05:09:50 PM,01/02/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10462,22 METROPOLITAN OVAL,METROPOLITAN OVAL,,,,,ADDRESS,BRONX,,,Closed,,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/02/2025 12:00:00 AM,09 BRONX,2039437501,BRONX,1023235,244686,UNKNOWN,Unspecified,BRONX,,,,,,,,40.83819577072794,-73.85911035415445,"(40.83819577072794, -73.85911035415445)"
63570772,12/30/2024 04:53:47 PM,01/03/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10458,2842 GRAND CONCOURSE,GRAND CONCOURSE,,,,,ADDRESS,BRONX,,,Closed,,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/03/2025 12:00:00 AM,07 BRONX,2033040119,BRONX,1014344,256260,UNKNOWN,Unspecified,BRONX,,,,,,,,40.86999770252244,-73.89118994431134,"(40.86999770252244, -73.89118994431134)"
63564810,12/30/2024 04:50:21 PM,03/26/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,11201,21 DEKALB AVENUE,DEKALB AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings reviewed this complaint and determined that no further action was necessary.,03/26/2025 12:00:00 AM,02 BROOKLYN,3001497503,BROOKLYN,989169,190653,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.689973849224984,-73.9822625299689,"(40.689973849224984, -73.9822625299689)"
63563312,12/30/2024 04:13:36 PM,01/02/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10468,2290 DAVIDSON AVENUE,DAVIDSON AVENUE,,,,,ADDRESS,BRONX,,,Closed,,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/02/2025 12:00:00 AM,07 BRONX,2031970023,BRONX,1010639,252289,UNKNOWN,Unspecified,BRONX,,,,,,,,40.85911037097102,-73.9046016370002,"(40.85911037097102, -73.9046016370002)"
63566274,12/30/2024 03:52:08 PM,01/02/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11235,2611 EAST   13 STREET,EAST   13 STREET,,,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/02/2025 12:00:00 AM,15 BROOKLYN,3074580001,BROOKLYN,996447,153235,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.5872624218568,-73.9560863620707,"(40.5872624218568, -73.9560863620707)"
63560321,12/30/2024 03:42:35 PM,01/03/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10031,612 WEST  144 STREET,WEST  144 STREET,,,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/03/2025 12:00:00 AM,09 MANHATTAN,1020900040,MANHATTAN,997599,240249,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.82609344445307,-73.95176624088222,"(40.82609344445307, -73.95176624088222)"
63569292,12/30/2024 03:33:27 PM,01/10/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11207,684 LIVONIA AVENUE,LIVONIA AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/10/2025 12:00:00 AM,05 BROOKLYN,3038250021,BROOKLYN,1014295,181606,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.66509226763419,-73.89170082787165,"(40.66509226763419, -73.89170082787165)"
63560315,12/30/2024 03:04:55 PM,01/02/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,10467,3039 WALLACE AVENUE,WALLACE AVENUE,,,,,ADDRESS,BRONX,,,Closed,,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/02/2025 12:00:00 AM,12 BRONX,2045700032,BRONX,1021776,256326,UNKNOWN,Unspecified,BRONX,,,,,,,,40.870150385022505,-73.86431793354161,"(40.870150385022505, -73.86431793354161)"
63570706,12/30/2024 03:01:45 PM,03/17/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11225,350 EMPIRE BOULEVARD,EMPIRE BOULEVARD,,,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,03/17/2025 12:00:00 AM,09 BROOKLYN,3013160010,BROOKLYN,997969,181166,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.66392491473428,-73.9505498405255,"(40.66392491473428, -73.9505498405255)"
63562133,12/30/2024 03:00:59 PM,01/20/2025 06:12:27 PM,HPD,Department of Housing Preservation and Development,ELEVATOR,MAINTENANCE,RESIDENTIAL BUILDING,11225,348 EMPIRE BOULEVARD,EMPIRE BOULEVARD,,,,,ADDRESS,BROOKLYN,,,Closed,,HPD conducted an inspection of this complaint. The conditions observed by the inspector did not violate the housing laws enforced by HPD. The complaint has been closed.,01/20/2025 12:00:00 AM,09 BROOKLYN,3013160010,BROOKLYN,997958,181165,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66392218699363,-73.95058949206947,"(40.66392218699363, -73.95058949206947)"
63567743,12/30/2024 02:43:42 PM,01/02/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11435,90-10 150 STREET,150 STREET,,,,,ADDRESS,JAMAICA,,,Closed,,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/02/2025 12:00:00 AM,12 QUEENS,4096790059,QUEENS,1038289,195645,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.703512087981274,-73.80510051155417,"(40.703512087981274, -73.80510051155417)"
63571100,12/30/2024 02:42:01 PM,01/30/2025 08:03:42 PM,HPD,Department of Housing Preservation and Development,ELEVATOR,MAINTENANCE,RESIDENTIAL BUILDING,10460,2075 BOSTON ROAD,BOSTON ROAD,,,,,ADDRESS,BRONX,,,Closed,,HPD conducted an inspection of this complaint. The conditions observed by the inspector did not violate the housing laws enforced by HPD. The complaint has been closed.,01/30/2025 12:00:00 AM,06 BRONX,2031320001,BRONX,1017817,245993,PHONE,Unspecified,BRONX,,,,,,,,40.84180535769116,-73.87868413951,"(40.84180535769116, -73.87868413951)"
63569229,12/30/2024 02:31:41 PM,01/06/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,11354,147-25 NORTHERN BOULEVARD,NORTHERN BOULEVARD,,,,,ADDRESS,FLUSHING,,,Closed,,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",01/06/2025 12:00:00 AM,07 QUEENS,4050050059,QUEENS,1034364,218105,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.76518222194227,-73.81908925496658,"(40.76518222194227, -73.81908925496658)"
63563314,12/30/2024 02:21:37 PM,03/03/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11373,53-11 90 STREET,90 STREET,,,,,ADDRESS,ELMHURST,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,03/03/2025 12:00:00 AM,04 QUEENS,4018557501,QUEENS,1019306,208164,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.737969254069895,-73.87350012871343,"(40.737969254069895, -73.87350012871343)"
63561804,12/30/2024 02:18:37 PM,03/03/2025 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Single Device On Property/No Alternate Service,,11373,41-72 JUDGE STREET,JUDGE STREET,,,,,ADDRESS,ELMHURST,,,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,03/03/2025 12:00:00 AM,04 QUEENS,4015070054,QUEENS,1016981,210691,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.744914143624996,-73.88187760396336,"(40.744914143624996, -73.88187760396336)"
63560299,12/30/2024 02:18:17 PM,12/31/2024 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Multiple Devices On Property,,10453,10 RICHMAN PLAZA,RICHMAN PLAZA,,,,,ADDRESS,BRONX,,,Closed,,The Department of Buildings investigated this complaint and issued an Office of Administrative Trials and Hearings (OATH) summons.,12/31/2024 12:00:00 AM,05 BRONX,2028820229,BRONX,1005583,249550,UNKNOWN,Unspecified,BRONX,,,,,,,,40.851606301604434,-73.92288819061721,"(40.851606301604434, -73.92288819061721)"
